state,action,reward,next state
"[65.58213806152344, 1.9621955156326294, -0.004674396477639675, 15.541903991427871, 0.0]",0.0,"[0.8, 0.0, -0.0, 0.8]","[68.91104125976562, 1.9611059427261353, -0.004554462153464556, 0.0, 0.0]"
"[68.91104125976562, 1.9611059427261353, -0.004554462153464556, 0.0, 0.0]",3,"[0.8, 0.7543579903552947, -0.01869935989379883, 1.535658630461496]","[81.12047576904297, 2.182546377182007, -0.0046933554112911224, 15.087159807105893, 0.0]"
"[81.12047576904297, 2.182546377182007, -0.0046933554112911224, 15.087159807105893, 0.0]",2,"[0.8, 0.7815812882029595, -0.0001032629981637001, 1.5814780252047957]","[88.36712646484375, 20.178638458251953, -0.004681987687945366, 15.631625764059189, 0.0]"
"[88.36712646484375, 20.178638458251953, -0.004681987687945366, 15.631625764059189, 0.0]",2,"[0.8, 1.5572292557463355e-05, -2.536371539463289e-08, 0.8000155469288421]","[88.38250732421875, 37.86788558959961, -0.004669742658734322, 0.0003114458511492671, 0.0]"
"[88.38250732421875, 37.86788558959961, -0.004669742658734322, 0.0003114458511492671, 0.0]",4,"[0.8, 1.7682045475951938e-07, -1.224841241764807e-09, 0.8000001755956135]","[88.38250732421875, 37.86796188354492, -0.004700222052633762, 3.5364090951903874e-06, 0.0]"
"[88.38250732421875, 37.86796188354492, -0.004700222052633762, 3.5364090951903874e-06, 0.0]",4,"[0.8, 4.809036343645503e-08, -9.590752370058908e-10, 0.8000000471312882]","[88.38250732421875, 37.86796188354492, -0.004700222052633762, 9.618072687291005e-07, 0.0]"
"[88.38250732421875, 37.86796188354492, -0.004700222052633762, 9.618072687291005e-07, 0.0]",4,"[0.8, 3.0266251255264754e-07, -1.2014922390335414e-09, 0.8000003014610204]","[88.38250732421875, 37.86796188354492, -0.004700222052633762, 6.053250251052951e-06, 0.0]"
"[88.38250732421875, 37.86796188354492, -0.004700222052633762, 6.053250251052951e-06, 0.0]",4,"[0.8, 1.5071854670714282, -0.09348278045654297, 2.2137026866148855]","[89.47834014892578, 52.948699951171875, -0.006077480036765337, 30.14370934142856, 0.0]"
"[89.47834014892578, 52.948699951171875, -0.006077480036765337, 30.14370934142856, 0.0]",1,"[0.8, 1.09215689408069, -0.008373069763183595, 1.8837838243175065]","[132.76510620117188, 59.49505615234375, -0.004118862096220255, 21.8431378816138, 0.0]"
"[132.76510620117188, 59.49505615234375, -0.004118862096220255, 21.8431378816138, 0.0]",0.0,"[0.8, 1.768386670636129, -0.0024486541748046874, 2.5659380164613244]","[167.84954833984375, 59.4899787902832, -0.004542522132396698, 35.36773341272258, 0.0]"
"[167.84954833984375, 59.4899787902832, -0.004542522132396698, 35.36773341272258, 0.0]",2,"[0.8, 1.7670269409073585, -0.013189888000488282, 2.55383705290687]","[217.18186950683594, 59.48446273803711, -0.005702686030417681, 35.34053881814717, 0.0]"
