state,action,reward,next state
[13],5,"[0.8, 1.1605692046000635, -0.03276615142822266, 1.9278030531718409]",[13]
[13],5,"[0.8, 0.990134754110756, -0.077996826171875, 1.712137927938881]",[9]
[9],0,"[0.8, 0.9369460743746049, -0.00897960662841797, 1.727966467746187]",[9]
[9],0,"[0.8, 0.9272537513919187, -0.0012440681457519531, 1.7260096832461667]",[35]
[35],0,"[0.8, 0.0, -0.0, 0.8]",[47]
[47],5,"[0.8, 0.0, -0.0, 0.8]",[47]
[47],5,"[0.8, 0.0, -0.0, 0.8]",[47]
[47],5,"[0.8, 0.7338296010394765, -0.020374393463134768, 1.5134552075763419]",[29]
[29],4,"[0.8, 1.3892221411385632, -0.0005460957065224648, 2.188676045432041]",[29]
[29],3,"[0.8, 3.465946894481391e-05, -2.3932311705721076e-08, 0.8000346355366331]",[49]
[49],6,"[0.8, 3.441427295476722e-08, -4.3399136302468835e-08, 0.7999999910151367]",[49]
[49],6,"[0.8, 5.7806968924966794e-08, -1.8501480099075706e-08, 0.8000000393054889]",[49]
[49],6,"[0.8, 5.4933719306604963e-08, -1.3861685133065295e-10, 0.8000000547951025]",[49]
[49],6,"[0.8, 0.8250151061668923, -4.534493200480938e-06, 1.625010571673692]",[4]
[4],0,"[0.8, 1.4274435541822457, -0.0025814056396484377, 2.2248621485425972]",[24]
[24],4,"[0.8, 1.4293202772317493, -0.0031439781188964846, 2.226176299112853]",[18]
[18],0,"[0.8, 1.4293188170046482, -0.0031436920166015626, 2.226175124988047]",[2]
[2],0,"[0.8, 1.4321477813583825, -0.0031435012817382815, 2.2290042800766443]",[21]
[21],0,"[0.8, 1.1551519890121098, -0.0021630287170410155, 1.9529889602950687]",[17]
[17],0,"[0.8, 1.154902472923009, -0.005157089233398438, 1.9497453836896106]",[27]
[27],4,"[0.8, 0.0, -0.0, 0.8]",[12]
[12],5,"[0.8, 0.0, -0.0, 0.8]",[12]
[12],5,"[0.8, 0.0, -0.0, 0.8]",[12]
[12],5,"[0.8, 0.0, -0.0, 0.8]",[12]
[12],5,"[0.8, 0.11967443384084116, -0.026677215099334718, 0.8929972187415065]",[12]
[12],0,"[0.8, 1.1518082967854582, -0.029818916320800783, 1.9219893804646575]",[14]
[14],6,"[0.8, 1.0888081169367618, -0.0002522844634950161, 1.8885558324732667]",[48]
[48],3,"[0.8, 0.9362189277398276, -1.6881851479411125e-05, 1.7362020458883483]",[48]
[48],0,"[0.8, 1.0723423589369256, -0.0002388264611363411, 1.8721035324757893]",[3]
[3],4,"[0.8, 0.0015380818686442572, -3.3770138543332e-07, 0.8015377441672589]",[3]
[3],5,"[0.8, 0.0, -0.0, 0.8]",[3]
[3],5,"[0.8, 0.0, -0.0, 0.8]",[3]
[3],5,"[0.8, 0.0, -0.0, 0.8]",[3]
[3],5,"[0.8, 0.007907110963192947, -2.3731519468128683e-05, 0.8078833794437249]",[3]
[3],3,"[0.8, 1.78071334133485, -6.847381591796875e-05, 2.5806448675189317]",[28]
[28],4,"[0.8, 1.7685978594717295, -3.814697265625e-07, 2.568597478002003]",[15]
[15],0,"[0.8, 1.7684171934533297, -0.0010299772024154664, 2.567387216250914]",[15]
[15],3,"[0.8, -0.2, -6.863716989755631e-05, 0.5999313628301025]",[15]
[15],0,"[0.8, 1.9667175989194918, -1.5892088413238525e-05, 2.7667017068310784]",[19]
[19],5,"[0.8, 1.2723194110420564, -9.838957339525223e-07, 2.0723184271463224]",[31]
[31],0,"[0.8, 1.273030372161732, -5.523208528757095e-06, 2.073024848953203]",[5]
[5],0,"[0.8, 1.2730339350869366, -0.00025564730167388917, 2.0727782877852627]",[5]
[5],4,"[0.8, 1.2761785408102906, -0.0012914657592773438, 2.0748870750510133]",[5]
[5],3,"[0.8, 1.2667115536110969, -0.004650402069091797, 2.062061151542005]",[5]
[5],4,"[0.8, 5.315525725527729e-07, -3.0652158784505444e-08, 0.8000005009004139]",[5]
[5],7,"[0.8, 5.750656633179047e-07, -5.456288754146499e-11, 0.8000005750111004]",[5]
[5],7,"[0.8, 4.669292126354094e-07, -4.1678394069322167e-10, 0.8000004665124287]",[5]
[5],7,"[0.8, 7.759094594250791e-07, -4.767147743223177e-09, 0.8000007711423117]",[5]
[5],7,"[0.8, 0.6182273012355641, -0.05908050537109375, 1.3591467958644703]",[5]
[5],4,"[0.8, 1.9615831475606225, -0.026833343505859374, 2.734749804054763]",[23]
[23],1,"[0.8, 0.7678652021371423, -0.002166271209716797, 1.5656989309274256]",[42]
[42],1,"[0.8, 2.0693914628917747, -0.001812744140625, 2.86757871875115]",[42]
[42],0,"[0.8, 1.146929337583663, -0.08371562957763672, 1.8632137080060263]",[37]
[37],7,"[0.8, 0.8118719751221253, -0.0001312255859375, 1.611740749536188]",[37]
[37],0,"[0.8, 0.8119171482847364, -3.814697265625e-07, 1.6119167668150098]",[30]
[30],0,"[0.8, 7.701389311074907e-06, -1.5825331502128393e-06, 0.8000061188561609]",[30]
[30],6,"[0.8, 6.885218594631982e-09, -1.9860316058384342e-10, 0.8000000066866155]",[30]
[30],6,"[0.8, 0.0008042334879407542, -0.00017573386430740358, 0.8006284996236334]",[30]
[30],5,"[0.8, 0.8165517334951181, -0.041457176208496094, 1.5750945572866222]",[30]
[30],2,"[0.8, 0.8826701341408344, -2.1085096523165703e-05, 1.6826490490443113]",[30]
